Date,Link,Headlines,Sentiment Score,Sentiment Category
28-06-2024,"Reliance MCap Breaches ₹21 Lakh Cr, 1st Indian Company To Do So","Reliance MCap Breaches ₹21 Lakh Cr, 1st Indian Company To Do So",0,Neutral
26-06-2024,https://in.investing.com/news/jio-consolidates-its-leadership-position-by-acquiring-right-to-use-spectrum-in-1800-mhz-band-in-2-circles-4276002,Jio consolidates its leadership position by acquiring right to use spectrum in 1800 MHz band in 2 circles,0,Neutral
18-06-2024,"Sensex, Nifty hit new all-time high on strong global cues","Sensex, Nifty hit new all-time high on strong global cues",0.7184,Positive
05-06-2024,Smallcap stock jumps 3% after company received work order worth ₹ 56 Cr from ONGC ,Smallcap stock jumps 3% after company received work order worth ₹ 56 Cr from ONGC ,0.2263,Positive
04-06-2024,Zee Entertainment Tanks Early Amid Capital Raise Plans,Zee Entertainment Tanks Early Amid Capital Raise Plans,0.4215,Positive
30-05-2024,TIME recognises Reliance Industries as one of world’s most influential companies,TIME recognises Reliance Industries as one of world’s most influential companies,0.4927,Positive
28-05-2024,Stock jumps 9% after company received work order worth ₹ 22.68 Cr from Airports Authority of India ,Stock jumps 9% after company received work order worth ₹ 22.68 Cr from Airports Authority of India ,0.296,Positive
27-05-2024,RIL: Goldman Sachs Highlights Path to Rebound Amid Market Stagnation,RIL: Goldman Sachs Highlights Path to Rebound Amid Market Stagnation,0,Neutral
24-05-2024,https://in.investing.com/news/stock-market-news/telecom-stock-jumps-116-after-ubs-gives-it-a-buy-call-for-an-upside-of-20-4213961,Telecom stock jumps 11.6% after UBS gives it a buy call for an upside of 20%,0,Neutral
21-05-2024,https://in.investing.com/news/stock-market-news/ashish-kacholia-stock-jumps-3-after-company-received-export-order-worth--505-cr-4205418,Ashish Kacholia stock jumps 3% after company received export order worth ₹ 505 Cr,0.2263,Positive
23-04-2024,https://in.investing.com/news/multiple-catalysts-for-rerating-across-verticals-as-ril-exits-fourth-investment-cycle-morgan-stanley-4141406,Multiple catalysts for re-rating across verticals as RIL exits fourth investment cycle: Morgan Stanley,0,Neutral
23-04-2024,HSBC raises Reliance Industries stock target,HSBC raises Reliance Industries stock target,0,Neutral
22-04-2024,Reliance Retail records gross revenues of Rs 3.06 lakh crore for FY24,Reliance Retail records gross revenues of Rs 3.06 lakh crore for FY 24,-0.4767,Negative
15-04-2024,https://in.investing.com/news/stock-market-news/nfra-finds-reliance-capital-joint-auditor-guilty-of-rs-12571-crore-fudge-in-201819-4124714,"NFRA finds Reliance Capital joint auditor guilty of Rs 12,571 crore fudge in 2018-19",-0.4215,Negative
11-04-2024,Will Musk announce affordable Starlink internet service during India visit?,Will Musk announce affordable Starlink internet service during India visit?,0,Neutral
08-04-2024,https://in.investing.com/news/at-245-billion-india-witnesses-resurgence-in-deals-in-q1-report-4112312,"At $24.5 billion, India witnesses resurgence in deals in Q1: Report",0,Neutral
29-03-2024,Power sector experts hail collaboration between RIL & Adani Group for MP power project,Power sector experts hail collaboration between RIL & Adani Group for MP power project,0.0772,Positive
28-03-2024,https://in.investing.com/news/reliance-industries-invests-in-mahan-energen-a-whollyowned-subsidiary-of-adani-power-4094348,"Reliance Industries invests in Mahan Energen, a wholly-owned subsidiary of Adani Power",0,Neutral
27-03-2024,Reliance Shares Jump 3.5% To Lead Nifty 50 Gainers,Reliance Shares Jump 3.5% To Lead Nifty 50 Gainers,0.5994,Positive
22-03-2024,Reliance Shares Continue Gains For 3rd Day As Brokerage Raises Target,Reliance Shares Continue Gains For 3rd Day As Brokerage Raises Target,0.5574,Positive
18-03-2024,Why Reliance Shares Jumped Back In Green After 3 Days,Why Reliance Shares Jumped Back In Green After 3 Days,0.296,Positive
14-03-2024,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,0,Neutral
06-03-2024,https://in.investing.com/news/reliance-shares-jump-back-in-green-after-brokerage-remains-upbeat-4051987,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,0,Neutral
02-03-2024,https://in.investing.com/news/reliance-tata-motors-tata-steel-hit-alltime-highs-in-special-trading-session-4046414,"Reliance, Tata Motors, Tata Steel Hit All-Time Highs In Special Trading Session",0.4019,Positive
29-02-2024,https://in.investing.com/news/stock-market-news/jio-financial-services-joins-the-nifty-next-50-in-nses-latest-index-rejig-4042423,Jio Financial Services Joins The Nifty Next 50 In NSE's Latest Index Rejig,0.4019,Positive
28-02-2024,Reliance and Disney forge $8.5 billion Indian media titan via merger deal,Reliance and Disney forge $8.5 billion Indian media titan via merger deal,0,Neutral
13-02-2024,"Reliance Shares Hit All-Time High, Market Cap Crosses ₹20 Lakh Cr","Reliance Shares Hit All-Time High, Market Cap Crosses ₹20 Lakh Cr",0.296,Positive
07-02-2024,https://in.investing.com/news/stock-market-news/reliancebacked-stock-surges-20-as-profits-soar-54-in-q3-4006076,Reliance-Backed Stock Surges 20% As Profits Soar 54% In Q3,0.4404,Positive
03-02-2024,https://in.investing.com/news/reliance-wins-ifr-asias-issuer-of-the-year-award-for-record-fourth-time-4001493,Reliance wins IFR Asia’s ‘Issuer of the Year’ award for record fourth time,0.802,Positive
31-01-2024,https://in.investing.com/news/reliance-wins-ifr-asias-issuer-of-the-year-award-for-record-fourth-time-4001493,Reliance Jio Calls for Nationwide 2G and 3G Phase-Out to Boost 5G,0.4019,Positive
29-01-2024,"ONGC, Reliance Lead Gainers As Markets Start Budget Week With A Bang","ONGC, Reliance Lead Gainers As Markets Start Budget Week With A Bang",0,Neutral
25-01-2024,"Reliance Jio, OnePlus join hands to drive 5G innovation in India","Reliance Jio, OnePlus join hands to drive 5G innovation in India",0.5859,Positive
20-01-2024,https://in.investing.com/news/ril-trades-cheap-relative-to-nifty-jefferies-3981274,RIL trades cheap relative to Nifty: Jefferies,0.4019,Positive
19-01-2024,https://in.investing.com/news/reliance-retail-delivers-gross-revenue-of-rs-83063cr-for-3q-fy24-3980550,"Reliance Retail delivers gross revenue of Rs 83,063cr for 3Q FY24",-0.4767,Negative
16-01-2024,https://in.investing.com/news/stock-market-news/jio-financial-services-shares-slide-6-amid-q3-results--net-profit-down-56-qoq-3974253,Jio Financial Services Shares Slide 6% Amid Q3 Results - Net Profit Down 56% QoQ,0.6249,Positive
11-01-2024,https://in.investing.com/news/ril-market-cap-crosses-rs-18-lakh-crore-3969282,RIL market cap crosses Rs 18 lakh crore,0,Neutral
